Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
SIR,Soft,1,20,96.98655,95.879,99.349,0.8420645352815593,Williams,20,0.17349999999999993,0.5428691453783133
STR,Medium,1,29,96.92024137931034,95.975,99.343,0.7077260191815797,Williams,29,0.11613793103448308,0.5855740257908851
STR,Soft,2,22,107.64345454545455,93.869,142.232,17.137159790592833,Williams,22,2.198318181818182,0.05513542426409388
VAN,Medium,2,12,100.96724999999999,94.606,127.313,11.399012270806622,McLaren,12,2.725583333333334,0.08065158563916355
VAN,Soft,1,20,96.1964,95.189,98.833,0.7538298286260032,McLaren,20,0.18220000000000028,0.570180745975467
VAN,Soft,3,19,108.24772222222222,93.551,145.081,19.206417505325895,McLaren,18,2.862777777777777,0.04948922785231106
VER,Medium,2,16,96.3720625,93.084,119.531,7.8965807154637115,Red Bull Racing,16,1.6529375000000002,0.11240273448672664
VER,Soft,1,19,93.944125,93.468,94.366,0.2728476681227101,Red Bull Racing,16,0.05612499999999976,0.7856399670157498
VER,Soft,3,13,121.28153846153847,92.007,148.379,25.415484720983866,Red Bull Racing,13,4.336307692307691,0.03785658338518477
VET,Medium,2,13,96.16938461538462,92.745,114.144,7.537539933984448,Ferrari,13,1.6460769230769232,0.11712975959496362
VET,Soft,1,21,93.65005555555555,92.723,94.418,0.5162972778205993,Ferrari,18,0.09416666666666708,0.6595012829128848
VET,Soft,3,19,104.43325,90.696,144.933,22.834102386562066,Ferrari,16,3.3898124999999997,0.04195668810098807
VET,nan,0,0,92.918,92.918,92.918,,Ferrari,1,0.0,
