Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
HAR,Toro Rosso,8,109.755,HYPERSOFT,7,1,1,30.3,63.1,False,True,29.341,42.574,37.84,7.849999999999994,True,17.0,109.60730357142857,4.3240277264254585,104.889,127.12,7.702303571428571,49,0.9620470710105106,Normal
VAN,McLaren,8,110.103,ULTRASOFT,7,1,1,30.3,63.1,False,True,29.691,42.544,37.868,8.197999999999993,True,12.0,109.45484210526317,6.247945167325788,105.555,149.971,7.549842105263157,54,0.9460000461993539,Normal
STR,Williams,8,110.309,Soft,7,1,1,30.3,63.1,False,True,29.923,42.6,37.786,8.403999999999996,True,14.0,109.61347368421052,6.0097040428236435,106.033,147.976,7.708473684210525,54,0.9480233620891177,Normal
SIR,Williams,8,111.133,Soft,5,2,1,30.3,63.1,False,True,30.121,43.185,37.827,9.227999999999994,True,19.0,111.56807142857143,6.058613684385513,105.902,144.95,9.663071428571428,43,0.9484928638551071,Normal
HAM,Mercedes,9,107.592,HYPERSOFT,10,1,1,30.2,63.1,False,True,28.969,41.88,36.743,5.686999999999998,True,1.0,105.91582456140351,3.3022061084913172,102.913,127.051,4.010824561403508,55,0.9697650096029286,Normal
VET,Ferrari,9,107.427,HYPERSOFT,11,1,1,30.2,63.1,False,True,28.726,41.655,37.046,5.522000000000006,True,3.0,106.60156140350877,2.619846103833093,104.669,123.072,4.696561403508771,55,0.9760134376252476,Normal
VER,Red Bull Racing,9,107.348,HYPERSOFT,11,1,1,30.2,63.1,False,True,28.813,41.498,37.037,5.442999999999998,True,2.0,106.04414035087719,3.095453056146541,103.345,125.658,4.139140350877192,55,0.9716376709907429,Normal
BOT,Mercedes,9,107.307,HYPERSOFT,11,1,1,30.2,63.1,False,True,28.952,41.556,36.799,5.402000000000001,True,4.0,106.78705263157894,2.819239052735013,104.72,125.123,4.882052631578946,55,0.9742784925079399,Normal
RAI,Ferrari,9,107.375,HYPERSOFT,11,1,1,30.2,63.1,False,True,28.771,41.717,36.887,5.469999999999999,True,5.0,106.79471929824561,2.8221106320978113,104.715,124.271,4.889719298245613,55,0.9742547687805684,Normal
RIC,Red Bull Racing,9,107.778,HYPERSOFT,11,1,1,30.2,63.1,False,True,29.201,41.634,36.943,5.873000000000005,True,6.0,106.79677192982456,3.395077182046841,103.12,128.039,4.89177192982456,55,0.9691893982230935,Normal
PER,Racing Point,9,108.002,HYPERSOFT,11,1,1,30.2,63.1,False,True,29.216,41.723,37.063,6.096999999999994,True,16.0,109.45364285714287,5.274186160152864,105.389,129.117,7.548642857142856,50,0.954028711208701,Normal
GRO,Haas F1 Team,9,109.22,HYPERSOFT,11,1,1,30.2,63.1,False,True,29.466,42.211,37.543,7.314999999999998,True,15.0,108.95883928571428,3.4731910283132765,105.904,128.416,7.053839285714284,52,0.9691085270041597,Normal
ALO,McLaren,9,108.743,ULTRASOFT,8,1,1,30.2,63.1,False,True,29.371,42.039,37.333,6.837999999999994,True,7.0,107.60368421052631,3.374050952055656,103.164,127.447,5.698684210526316,55,0.9695970462263203,Normal
