Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
MAG,Medium,2,10,98.66279999999999,98.152,99.969,0.5496220519593393,Haas F1 Team,10,0.1816999999999993,0.6453186431721217
MAG,Soft,1,49,104.04457777777779,98.198,146.169,11.553734896892726,Haas F1 Team,45,1.0660222222222226,0.07965756870073128
OCO,Soft,1,45,104.14320000000001,98.035,149.617,11.454363217092906,Force India,45,1.1462666666666665,0.08029314566862454
OCO,Soft,2,1,97.985,97.985,97.985,,Force India,1,0.0,
OCO,ULTRASOFT,3,9,98.47566666666665,98.015,99.44,0.4740266342728034,Force India,9,0.15833333333333302,0.6784137930406802
PER,Soft,2,1,97.889,97.889,97.889,,Force India,1,0.0,
PER,Soft,3,9,98.48766666666667,97.673,101.593,1.1832362401481795,Force India,9,0.43555555555555575,0.45803563609411707
PER,ULTRASOFT,1,48,104.14991111111111,97.882,139.734,10.667297612589405,Force India,45,0.9300444444444446,0.08570965044390112
RAI,Medium,2,9,97.03433333333334,96.456,97.354,0.34021427071773114,Ferrari,9,0.09977777777777735,0.7461493448092187
RAI,Soft,1,49,102.48924444444444,96.673,145.212,11.514153069859796,Ferrari,45,1.078644444444444,0.0799095227953132
RIC,Soft,3,9,96.68144444444445,95.785,97.238,0.40870805935016463,Red Bull Racing,9,0.16144444444444478,0.7098702909822912
RIC,ULTRASOFT,1,49,101.17729545454546,95.983,145.287,10.312360545818574,Red Bull Racing,44,1.1205454545454545,0.08839887978726362
SAI,Medium,2,1,98.233,98.233,98.233,,Renault,1,0.0,
SAI,Soft,3,9,98.05066666666667,97.754,98.88,0.38701550356542364,Renault,9,0.12511111111111006,0.7209724746619108
SAI,ULTRASOFT,1,48,103.05313636363636,98.161,142.335,9.641587089731626,Renault,44,1.0039545454545455,0.09397094545840148
SIR,Medium,2,1,98.624,98.624,98.624,,Williams,1,0.0,
SIR,Soft,1,45,104.34546666666667,99.005,135.653,9.248341368738892,Williams,45,0.8143999999999999,0.09757676525592306
SIR,Soft,3,10,98.85277777777777,98.632,99.162,0.2076624531407741,Williams,9,0.05888888888888902,0.8280459472754947
STR,Medium,2,10,98.7975,98.5,99.276,0.24426135820286954,Williams,10,0.07759999999999963,0.8036896697043902
STR,Soft,1,45,104.3311111111111,98.925,140.312,10.09927776270575,Williams,45,0.9197111111111115,0.09009595231142525
VAN,Medium,2,10,98.5036,98.137,98.87,0.23745792609779165,McLaren,10,0.0733000000000004,0.8081082830455553
VAN,Soft,1,45,104.21526666666666,98.61,141.609,10.26210805784606,McLaren,45,0.9555333333333336,0.08879332313840856
VER,Medium,2,1,96.678,96.678,96.678,,Red Bull Racing,1,0.0,
VER,Soft,3,9,96.72233333333332,96.206,97.265,0.4449615151897928,Red Bull Racing,9,0.11766666666666639,0.6920599541840753
VER,ULTRASOFT,1,48,101.39367441860465,96.671,145.615,10.361779105192614,Red Bull Racing,43,1.138232558139535,0.08801438496044825
VET,Medium,2,10,98.5296,97.841,100.608,0.8281330005902838,Ferrari,10,0.276700000000001,0.547006153095596
VET,Soft,1,47,101.62033333333333,97.479,148.497,10.820223629776512,Ferrari,42,1.214714285714286,0.08460076825288518
VET,nan,0,0,98.417,98.417,98.417,,Ferrari,1,0.0,
